"Name","train_params.seed","State","Notes","User","Tags","Created","Runtime","Sweep","dataset","logging.name","logging.save_dir","model","model_params.alpha","model_params.alpha_init","model_params.alpha_weight","model_params.attention_bias","model_params.batch_norm","model_params.hidden_dim","model_params.layer_norm","model_params.num_heads","model_params.num_in_types","model_params.num_layers","model_params.num_out_types","model_params.num_types","model_params.out_dim","model_params.residual","train_params.batch_size","train_params.lr","train_params.max_epochs","train_params.tree_depth","train_params.valid_interval","model_params.max_num_nodes","model_params.pos_enc_dim","train_params.lr_reduce_factor","train_params.lr_schedule_patience","train_params.lr_threshold","train_params.weight_decay","model_params.alpha_init_kwargs.lb","model_params.alpha_init_kwargs.ub","train_params.lr_alpha","model_params.dropout","alpha/alpha_0","alpha/alpha_1","alpha/alpha_10","alpha/alpha_11","alpha/alpha_12","alpha/alpha_13","alpha/alpha_14","alpha/alpha_15","alpha/alpha_2","alpha/alpha_3","alpha/alpha_4","alpha/alpha_5","alpha/alpha_6","alpha/alpha_7","alpha/alpha_8","alpha/alpha_9","attention/attention_post_transform_d1","attention/attention_post_transform_d2+","attention/attention_pre_transform_d1","attention/attention_pre_transform_d2+","attention_post_transform_d1_epoch","attention_post_transform_d1_step","attention_post_transform_d2+_epoch","attention_post_transform_d2+_step","attention_pre_transform_d1_epoch","attention_pre_transform_d1_step","attention_pre_transform_d2+_epoch","attention_pre_transform_d2+_step","epoch","train_loss","trainer/global_step","valid_accuracy","attention/attention_post_transform_d1_layer0","attention/attention_post_transform_d1_layer1","attention/attention_post_transform_d1_layer2","attention/attention_post_transform_d1_layer3","attention/attention_post_transform_d1_layer4","attention/attention_post_transform_d1_layer5","attention/attention_post_transform_d1layer0","attention/attention_post_transform_d1layer1","attention/attention_post_transform_d2+_layer0","attention/attention_post_transform_d2+_layer1","attention/attention_post_transform_d2+_layer2","attention/attention_post_transform_d2+_layer3","attention/attention_post_transform_d2+_layer4","attention/attention_post_transform_d2+_layer5","attention/attention_post_transform_d2+layer0","attention/attention_post_transform_d2+layer1","attention/attention_pre_transform_d1_layer0","attention/attention_pre_transform_d1_layer1","attention/attention_pre_transform_d1_layer2","attention/attention_pre_transform_d1_layer3","attention/attention_pre_transform_d1_layer4","attention/attention_pre_transform_d1_layer5","attention/attention_pre_transform_d1layer0","attention/attention_pre_transform_d1layer1","attention/attention_pre_transform_d2+_layer0","attention/attention_pre_transform_d2+_layer1","attention/attention_pre_transform_d2+_layer2","attention/attention_pre_transform_d2+_layer3","attention/attention_pre_transform_d2+_layer4","attention/attention_pre_transform_d2+_layer5","attention/attention_pre_transform_d2+layer0","attention/attention_pre_transform_d2+layer1","lr","lr/group_0_lr","lr/group_1_lr","test_loss","attention/attention_post_transform_d1_layer6","attention/attention_post_transform_d1_layer7","attention/attention_post_transform_d2+_layer6","attention/attention_post_transform_d2+_layer7","attention/attention_pre_transform_d1_layer6","attention/attention_pre_transform_d1_layer7","attention/attention_pre_transform_d2+_layer6","attention/attention_pre_transform_d2+_layer7","test_accuracy","valid_loss","model_params.phi","model_params.pos_encoding","valid_train_loss"
"zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","3","finished","-","maotth","","2024-01-10T00:49:41.000Z","5525","","zinc","zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","logs/zinc","gta3","per_layer","0","0.001","true","false","56","true","8","29","16","","","128","true","128","0.0005","","","","37","8","0.5","20","0.00001","0","-10","10","0.1","0.1","-11.435344696044922","-16.289392471313477","-8.043539047241211","-14.28357982635498","-5.610525131225586","-7.028470039367676","-11.225841522216797","-3.973628520965576","15.591717720031738","-7.607850074768066","-8.254617691040039","-6.274878025054932","-5.458509922027588","-6.595897197723389","-8.014420509338379","-4.03893518447876","0.29324012994766235","0.0036526070907711983","0.04704968631267547","0.04092150554060936","","","","","","","","","327","0.16741567850112915","25833","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000007812498552084435","0.001562498975545168","0.3459637761116028","","","","","","","","","","0.34802013635635376","alpha_pow_dist_sigmoid","none","0.3490692675113678"
"zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","2","finished","-","maotth","","2024-01-09T23:05:48.000Z","6222","","zinc","zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","logs/zinc","gta3","per_layer","0","0.001","true","false","56","true","8","29","16","","","128","true","128","0.0005","","","","37","8","0.5","20","0.00001","0","-10","10","0.1","0.1","-8.394214630126953","16.096370697021484","-5.559597015380859","-4.691577911376953","-8.028605461120605","-10.040762901306152","-12.042271614074709","-4.14760160446167","-11.3517427444458","16.64221954345703","-9.234990119934082","-4.554418563842773","-16.24813461303711","-12.486076354980469","-5.938152313232422","-5.647902965545654","0.27490055561065674","0.006393131799995899","0.04509734734892845","0.041217055171728134","","","","","","","","","381","0.1306241750717163","30099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000007812498552084435","0.001562498975545168","0.35966604948043823","","","","","","","","","","0.344486266374588","alpha_pow_dist_sigmoid","none","0.34653183817863464"
"zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","1","finished","-","maotth","","2024-01-09T21:36:05.000Z","5370","","zinc","zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","logs/zinc","gta3","per_layer","0","0.001","true","false","56","true","8","29","16","","","128","true","128","0.0005","","","","37","8","0.5","20","0.00001","0","-10","10","0.1","0.1","-7.825344562530518","-1.9446085691452024","-7.386724948883057","-7.213719844818115","-6.039499282836914","-6.199583053588867","-6.910346031188965","13.400775909423828","-14.286852836608888","-14.704508781433104","-14.958972930908203","-9.97425651550293","-10.385201454162598","-3.6532936096191406","-6.99909782409668","-5.638263702392578","0.28623324632644653","0.004713364411145449","0.043824050575494766","0.04140979424118996","","","","","","","","","320","0.17996549606323242","25280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000007812498552084435","0.001562498975545168","0.3446662425994873","","","","","","","","","","0.3529353737831116","alpha_pow_dist_sigmoid","none","0.3540983498096466"
"zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","0","finished","-","maotth","","2024-01-09T12:44:29.000Z","5446","","zinc","zinc_gta3_500k_patience20_lr=5e-4_reg=1e-3","logs/zinc","gta3","per_layer","0","0.001","true","false","56","true","8","29","16","","","128","true","128","0.0005","","","","37","8","0.5","20","0.00001","0","-10","10","0.1","0.1","-3.7496862411499023","-5.979420185089111","-12.35639476776123","-7.523556709289551","-16.742929458618164","-13.9866943359375","-4.89885139465332","13.676204681396484","-5.9100661277771","-7.0858025550842285","-17.25461196899414","-13.085259437561035","-5.164450645446777","-6.173407077789307","-6.962209224700928","-15.389028549194336","0.2906430959701538","0.00378735875710845","0.04782247915863991","0.04080452769994736","","","","","","","","","326","0.1516052633523941","25754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000007812498552084435","0.001562498975545168","0.34816285967826843","","","","","","","","","","0.3353273570537567","alpha_pow_dist_sigmoid","none","0.3363730311393738"
